product,brand,category,sub_category,description,text
Nutrition & Health Drink Royale - Chocolate,Complan,Beverages,"Health Drink, Supplement","Complan is a scientifically developed nutrition and health drink with clinically proven formula to give kids’ 2 times faster growth. This milk protein-based formula also supports immune function, helps brain development & functioning. Serve Complan to your kid two times a day as part of their daily balanced diet and help your children grow 2 times faster. Available in 4 delicious flavours - Royale Chocolate, Creamy Classic, Kesar Badam and Pista Badam.Complan is a nutrition and health drink with clinically proven formula to deliver 2 times faster growthContains 100% First Class ProteinContains 34 Vital Nutrients Nutrients like Vitamin A, E &C supports immune functionNutrients like Iodine, Iron, Vitamin B12 and Folic Acid helps Brain development and itâ€™s functioningNutrients like Sodium , Potassium & Chloride maintains fluid balance in the bodyCan be consumed with milk or water","Nutrition & Health Drink Royale - Chocolate Complan Beverages Health Drink, Supplement Complan is a scientifically developed nutrition and health drink with clinically proven formula to give kids’ 2 times faster growth. This milk protein-based formula also supports immune function, helps brain development & functioning. Serve Complan to your kid two times a day as part of their daily balanced diet and help your children grow 2 times faster. Available in 4 delicious flavours - Royale Chocolate, Creamy Classic, Kesar Badam and Pista Badam.Complan is a nutrition and health drink with clinically proven formula to deliver 2 times faster growthContains 100% First Class ProteinContains 34 Vital Nutrients Nutrients like Vitamin A, E &C supports immune functionNutrients like Iodine, Iron, Vitamin B12 and Folic Acid helps Brain development and itâ€™s functioningNutrients like Sodium , Potassium & Chloride maintains fluid balance in the bodyCan be consumed with milk or water"
Ramen Noodles - Hot Chicken Flavour,Samyang,Gourmet & World Food,"Pasta, Soup & Noodles",It is the original Korean Ramen Noodles with delicious Hot Chicken flavour. Enjoy the perfect balance of spices like sesame seeds and grilled seaweed flakes with an authentic taste. This noodle is the ideal choice for your evening snack or anytime hunger.,"Ramen Noodles - Hot Chicken Flavour Samyang Gourmet & World Food Pasta, Soup & Noodles It is the original Korean Ramen Noodles with delicious Hot Chicken flavour. Enjoy the perfect balance of spices like sesame seeds and grilled seaweed flakes with an authentic taste. This noodle is the ideal choice for your evening snack or anytime hunger."
"Glass Bottle With Removable Fabric Cover - Brown, BB1322",DP,"Kitchen, Garden & Pets",Storage & Accessories,"Carry this versatile and modish bottle whenever you go out. The glass body of the bottle is durable and is light in weight. The bottle's sleek design makes it fit anywhere in the backpack. It is ideal for students, travellers and people at the jobs. The wide mouth of the bottle makes it easy filling and prove to be perfect on the go bottle.","Glass Bottle With Removable Fabric Cover - Brown, BB1322 DP Kitchen, Garden & Pets Storage & Accessories Carry this versatile and modish bottle whenever you go out. The glass body of the bottle is durable and is light in weight. The bottle's sleek design makes it fit anywhere in the backpack. It is ideal for students, travellers and people at the jobs. The wide mouth of the bottle makes it easy filling and prove to be perfect on the go bottle."
Raw Wild Honey,Graminway,Snacks & Branded Foods,"Spreads, Sauces, Ketchup","Graminway Raw Wild Honey is unheated and unpasteurised and therefore retains all the beneficial immunity-boosting enzymes, antioxidants, and minerals of natural wildflower honey. It soothes a sore throat and helps with digestive issues. The mild refreshing sweetness of the pure wild honey makes it an excellent, low-calorie substitute for sugar! At Graminway, they believe that everyone deserves to live a full and healthy life. The intake of their food supplements will provide a good foundation for a healthy lifestyle. They are committed to providing the highest quality products at affordable price. They are a company with a purpose beyond profit and want to make a lasting difference in the world. Graminway aims to provide clean, natural, and healthy products without compromising on the flavours and taste. They produce them in small batches, which helps maintain freshness and preserve the ingredient texture. By not stockpiling, each product is as fresh as possible when it reaches your doorstep.","Raw Wild Honey Graminway Snacks & Branded Foods Spreads, Sauces, Ketchup Graminway Raw Wild Honey is unheated and unpasteurised and therefore retains all the beneficial immunity-boosting enzymes, antioxidants, and minerals of natural wildflower honey. It soothes a sore throat and helps with digestive issues. The mild refreshing sweetness of the pure wild honey makes it an excellent, low-calorie substitute for sugar! At Graminway, they believe that everyone deserves to live a full and healthy life. The intake of their food supplements will provide a good foundation for a healthy lifestyle. They are committed to providing the highest quality products at affordable price. They are a company with a purpose beyond profit and want to make a lasting difference in the world. Graminway aims to provide clean, natural, and healthy products without compromising on the flavours and taste. They produce them in small batches, which helps maintain freshness and preserve the ingredient texture. By not stockpiling, each product is as fresh as possible when it reaches your doorstep."
Activated Charcoal Hair Conditioner,StBotanica,Beauty & Hygiene,Hair Care,"With st botanica activated charcoal conditioner, soothe strands from root to tip with the power of bio active blends and notes of eucalyptus & spearmint. Watch natural volume and magnetic shine return as this conditioner nourishes to leave nothing but refreshed flawless hair. Charcoal naturally detoxifies, re-energizes, renews and restores hair by removing impurities for a longer-lasting clean and natural volume. Experience the difference of this renewing cream rinse with a pro Vitamin B5, E and wheat, and oats protein. the purifying conditioner nourishes hair while removing dirt and impurities, leaving hair with a fully refreshed and renewed look. Many hair care products leave your hair feeling dry and brittle. Our moisture-rich formula removes dirt and fortifies it with hydration. Thoroughly remove impurities and toxins from your hair strands and scalp. deep clean your hair without stripping it of its natural oils and moisture. Naturally moisturizing ingredients like shea butter, organic extra virgin olive oil, aloe vera work together to soothe your scalp and repair dry damaged hair. Rejuvenate your hair and fortify it with nutrients that leave your hair hydrated and strong. intense hydration gives your hair more body and bounce that feels soft and shines! activated charcoal is a natural ingredient that removes toxins by absorbing harmful. Our conditioner is formulated with charcoal to detoxify your hair leaving it renewed and refreshed. It pulls dirt from deep down unlike regular shampoos that only remove surface dirt.","Activated Charcoal Hair Conditioner StBotanica Beauty & Hygiene Hair Care With st botanica activated charcoal conditioner, soothe strands from root to tip with the power of bio active blends and notes of eucalyptus & spearmint. Watch natural volume and magnetic shine return as this conditioner nourishes to leave nothing but refreshed flawless hair. Charcoal naturally detoxifies, re-energizes, renews and restores hair by removing impurities for a longer-lasting clean and natural volume. Experience the difference of this renewing cream rinse with a pro Vitamin B5, E and wheat, and oats protein. the purifying conditioner nourishes hair while removing dirt and impurities, leaving hair with a fully refreshed and renewed look. Many hair care products leave your hair feeling dry and brittle. Our moisture-rich formula removes dirt and fortifies it with hydration. Thoroughly remove impurities and toxins from your hair strands and scalp. deep clean your hair without stripping it of its natural oils and moisture. Naturally moisturizing ingredients like shea butter, organic extra virgin olive oil, aloe vera work together to soothe your scalp and repair dry damaged hair. Rejuvenate your hair and fortify it with nutrients that leave your hair hydrated and strong. intense hydration gives your hair more body and bounce that feels soft and shines! activated charcoal is a natural ingredient that removes toxins by absorbing harmful. Our conditioner is formulated with charcoal to detoxify your hair leaving it renewed and refreshed. It pulls dirt from deep down unlike regular shampoos that only remove surface dirt."
Gluten-Free Quinoa Flour,Graminway,Gourmet & World Food,Cooking & Baking Needs,"Quinoa Flour is produced from Quinoa (kin-wah) which is a grain-like crop derived from South America. Quinoa provides protein, dietary fibre, B vitamins, and dietary minerals in rich amounts above those of wheat, corn, rice, or oats. It is gluten-free. Quinoa can be eaten as a rice replacement, as a hot breakfast cereal. Quinoa flour can be mixed with maize or wheat flour for making bread and pasta, and it is used for making or baking biscuits, cakes, and pastries in general.","Gluten-Free Quinoa Flour Graminway Gourmet & World Food Cooking & Baking Needs Quinoa Flour is produced from Quinoa (kin-wah) which is a grain-like crop derived from South America. Quinoa provides protein, dietary fibre, B vitamins, and dietary minerals in rich amounts above those of wheat, corn, rice, or oats. It is gluten-free. Quinoa can be eaten as a rice replacement, as a hot breakfast cereal. Quinoa flour can be mixed with maize or wheat flour for making bread and pasta, and it is used for making or baking biscuits, cakes, and pastries in general."
Activated Charcoal Bright Glow Face Wash,Oriental Botanics,Beauty & Hygiene,Skin Care,"This facewash is specifically designed both for men and women, Oriental Botanics Activated Charcoal Face Wash is a gentle cleanser with a cooling lather that works down to your skins dirty pores and refreshes without over-drying. Feel refreshed with a face wash that removes excess surface oil and dirt to improve your skins overall healthy look. It Deeply cleanses to unclog pores and clear away impurities, refines and smoothes the complexion by lifting off dead skin, does not leave the skin feeling dry and tight. The charcoal face cleanser can address 5 problems caused by daily city grime: oily skin, surface dirt, sticky feel, clogged pores, and dullness.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blog","Activated Charcoal Bright Glow Face Wash Oriental Botanics Beauty & Hygiene Skin Care This facewash is specifically designed both for men and women, Oriental Botanics Activated Charcoal Face Wash is a gentle cleanser with a cooling lather that works down to your skins dirty pores and refreshes without over-drying. Feel refreshed with a face wash that removes excess surface oil and dirt to improve your skins overall healthy look. It Deeply cleanses to unclog pores and clear away impurities, refines and smoothes the complexion by lifting off dead skin, does not leave the skin feeling dry and tight. The charcoal face cleanser can address 5 problems caused by daily city grime: oily skin, surface dirt, sticky feel, clogged pores, and dullness.Tip: Following a regular skin care regime can help you achieve flawless skin. For more tips on skin care, visit bigbasket lifestyle blog, Click Here to visit bigbasket’s lifestyle blog"
Gol Ghanti,Shubhkart,Cleaning & Household,Pooja Needs,"Bell or Ghanti is an essential part of Puja rituals. It is used while performing Aarti to lend a melodious tone to the chanting. It drowns Inauspicious noises and brings spiritual vibrations to the prayer ceremony. A well-designed Ghanti or bell produce long strains of the sound OM. The most widespread belief is that the puja bell is sounded to invite the deity to accept the worship and prayers. Another belief is that it is to drive away evil and negative forces. The sound made from a well-designed Ghanti or Bell is uninterrupted, reverberating (echo), deep and impressive. Symbolically, the body of the bell represents time - Ananta. The tongue of the bell symbolically represents Goddess Saraswati. The handle of the Ghanti is considered to be the vital principle (Praan Shakti) and symbolically represents Hanuman, Garuda, Nandi or Chakra.","Gol Ghanti Shubhkart Cleaning & Household Pooja Needs Bell or Ghanti is an essential part of Puja rituals. It is used while performing Aarti to lend a melodious tone to the chanting. It drowns Inauspicious noises and brings spiritual vibrations to the prayer ceremony. A well-designed Ghanti or bell produce long strains of the sound OM. The most widespread belief is that the puja bell is sounded to invite the deity to accept the worship and prayers. Another belief is that it is to drive away evil and negative forces. The sound made from a well-designed Ghanti or Bell is uninterrupted, reverberating (echo), deep and impressive. Symbolically, the body of the bell represents time - Ananta. The tongue of the bell symbolically represents Goddess Saraswati. The handle of the Ghanti is considered to be the vital principle (Praan Shakti) and symbolically represents Hanuman, Garuda, Nandi or Chakra."
Single Line Spiral Book - 21x29.7 cm,Navneet Youva,Cleaning & Household,Stationery,"We are Youva, those who constantly learn, always evolving as we grow upwards and onwards. Youva is you, always restless, never settling. Youva enables all of us, thinkers and doers of the world, to start on a fresh page, to create a brave new world. A spiral-bound book can fold all the way back upon itself and yet still remain flat, so it provides for easy reference while taking up minimal room on a desk or table. This makes spiral binding an excellent choice for reports, sales presentations, proposals, directories, cookbooks, instructional books and maintenance manuals. Because the spiral binding method allows pages to turn freely and stay put without the need to manually hold them open, it is often the best choice for bound projects that require tabbed page dividers. Doing things that are fun, over and over again!","Single Line Spiral Book - 21x29.7 cm Navneet Youva Cleaning & Household Stationery We are Youva, those who constantly learn, always evolving as we grow upwards and onwards. Youva is you, always restless, never settling. Youva enables all of us, thinkers and doers of the world, to start on a fresh page, to create a brave new world. A spiral-bound book can fold all the way back upon itself and yet still remain flat, so it provides for easy reference while taking up minimal room on a desk or table. This makes spiral binding an excellent choice for reports, sales presentations, proposals, directories, cookbooks, instructional books and maintenance manuals. Because the spiral binding method allows pages to turn freely and stay put without the need to manually hold them open, it is often the best choice for bound projects that require tabbed page dividers. Doing things that are fun, over and over again!"
Bottle Brush With Sponge,Magix,Cleaning & Household,"Mops, Brushes & Scrubs","Magix Bottle brush with sponge is Highly effective with superior good quality of bristles to provide complete cleaning of bottles, flasks, cans, etc. front sponge helps to clean the bottom properly.","Bottle Brush With Sponge Magix Cleaning & Household Mops, Brushes & Scrubs Magix Bottle brush with sponge is Highly effective with superior good quality of bristles to provide complete cleaning of bottles, flasks, cans, etc. front sponge helps to clean the bottom properly."
Durum Wheat Pasta - Penne Rigate,Disano,Gourmet & World Food,"Pasta, Soup & Noodles","Disano Pasta is crafted from the finest Durum semolina and turned into mouthwatering and nutritious meals. It is low in cholesterol and high in fibre. So you can rest assured that you are eating healthy & tasty food every day. Made in Italy, it is the most delicious pasta you have ever had.","Durum Wheat Pasta - Penne Rigate Disano Gourmet & World Food Pasta, Soup & Noodles Disano Pasta is crafted from the finest Durum semolina and turned into mouthwatering and nutritious meals. It is low in cholesterol and high in fibre. So you can rest assured that you are eating healthy & tasty food every day. Made in Italy, it is the most delicious pasta you have ever had."
Stevia Leaves Powder,Bixa Botanical,Beauty & Hygiene,Health & Medicine,"Stevia is a Low calorie, Natural alternative sweetener and is the best healthy sugar substitute that is extracted from the leaves of Stevia plant called STEVIA REBAUDIANA. Stevia contains the most active compound, known as Steviol Glycosides, that contains 150 times more sweetness than sugar. Stevia Rebaudiana has been used for many years by Gaurani people in South America and they called Stevia as a Sweet Herb. The leaves of Stevia are also in the use for hundreds of years in Brazil and Paraguay to sweeten the tea and medicine while Japan is also using Stevia as a sweetener for decades because, in 1899, scientists firstly described Stevia as a sweetener.
Stevia contains 2 main sweet compounds-Stevioside and Rebaudioside, which produces lingering sweet taste. Stevia currently is being accepted worldwide, like by European Food Safety Authority, Joint Expert Committee of WHO, FSSAI in India etc because of its low calories sweet tasting property which supports weight management. 
Stevia has low Glycemic Index & aids activation of beta cells of the pancreas which helps to avoid blood sugar spikes. The study shows that Steviol Glycosides are poorly absorbed in the body and pass through the upper gastrointestinal tract fully intact. Once steviol glycosides reach the colon it is converted into steviol. Steviol is then metabolized by the liver before being excreted in the urine. Hence there is no accumulation of Stevia in the body during metabolism. It is because of this poor absorption in the digestive tract that stevia has Low calories and does not raise blood glucose or insulin levels when digested. Stevia helps to improve the function of the hormone insulin, purifies the blood and helps to reduce blood pressure when taken on regular basis.","Stevia Leaves Powder Bixa Botanical Beauty & Hygiene Health & Medicine Stevia is a Low calorie, Natural alternative sweetener and is the best healthy sugar substitute that is extracted from the leaves of Stevia plant called STEVIA REBAUDIANA. Stevia contains the most active compound, known as Steviol Glycosides, that contains 150 times more sweetness than sugar. Stevia Rebaudiana has been used for many years by Gaurani people in South America and they called Stevia as a Sweet Herb. The leaves of Stevia are also in the use for hundreds of years in Brazil and Paraguay to sweeten the tea and medicine while Japan is also using Stevia as a sweetener for decades because, in 1899, scientists firstly described Stevia as a sweetener.
Stevia contains 2 main sweet compounds-Stevioside and Rebaudioside, which produces lingering sweet taste. Stevia currently is being accepted worldwide, like by European Food Safety Authority, Joint Expert Committee of WHO, FSSAI in India etc because of its low calories sweet tasting property which supports weight management. 
Stevia has low Glycemic Index & aids activation of beta cells of the pancreas which helps to avoid blood sugar spikes. The study shows that Steviol Glycosides are poorly absorbed in the body and pass through the upper gastrointestinal tract fully intact. Once steviol glycosides reach the colon it is converted into steviol. Steviol is then metabolized by the liver before being excreted in the urine. Hence there is no accumulation of Stevia in the body during metabolism. It is because of this poor absorption in the digestive tract that stevia has Low calories and does not raise blood glucose or insulin levels when digested. Stevia helps to improve the function of the hormone insulin, purifies the blood and helps to reduce blood pressure when taken on regular basis."
Pink Himalayan Rock Salt Powder,Nectar Valley,Gourmet & World Food,Cooking & Baking Needs,"Nectar Valley Pink Himalayan Rock Salt Powder comes from mother nature in its purest form. This rock salt comes from the great Himalayan region, where it has been matured over the past 250 million years under intense tectonic pressure in an environment that’s free of toxins and impurities.","Pink Himalayan Rock Salt Powder Nectar Valley Gourmet & World Food Cooking & Baking Needs Nectar Valley Pink Himalayan Rock Salt Powder comes from mother nature in its purest form. This rock salt comes from the great Himalayan region, where it has been matured over the past 250 million years under intense tectonic pressure in an environment that’s free of toxins and impurities."
EDP 2,Beverly Hills Polo Club,Beauty & Hygiene,Fragrances & Deos,"Established in 1981, the Beverly Hills Polo Club brand with the logo that features the polo rider and hallmark is best known for its accessories. Beverly Hills Polo Club is one of the most recognised brands and trademarks in the USA. This pack of Beverly Hills Polo Club deodorants are known to possess signature scents. These deodorants will keep you refreshed for hours. These deodorants will make you feel like you embody luxury, success, style, elegance, self- confidence and comfort.","EDP 2 Beverly Hills Polo Club Beauty & Hygiene Fragrances & Deos Established in 1981, the Beverly Hills Polo Club brand with the logo that features the polo rider and hallmark is best known for its accessories. Beverly Hills Polo Club is one of the most recognised brands and trademarks in the USA. This pack of Beverly Hills Polo Club deodorants are known to possess signature scents. These deodorants will keep you refreshed for hours. These deodorants will make you feel like you embody luxury, success, style, elegance, self- confidence and comfort."
Darjeeling Green Tea,Teamonk,Gourmet & World Food,Drinks & Beverages,"Darjeeling Green, a smooth and immaculate tea plucked from the pristine hills of Darjeeling, with a fresh and enduring flavour that lasts in your taste buds and offers you an experience like none other.","Darjeeling Green Tea Teamonk Gourmet & World Food Drinks & Beverages Darjeeling Green, a smooth and immaculate tea plucked from the pristine hills of Darjeeling, with a fresh and enduring flavour that lasts in your taste buds and offers you an experience like none other."
"Snack Time - Raita Masala, Chatpata Flavour",Keya,"Foodgrains, Oil & Masala",Masalas & Spices,Keya Raita Masala comes with the perfect blend of spices required to make healthy and delicious Raita at home easily. Use it in any dish made with curd and impart mouth-watering flavours to it.,"Snack Time - Raita Masala, Chatpata Flavour Keya Foodgrains, Oil & Masala Masalas & Spices Keya Raita Masala comes with the perfect blend of spices required to make healthy and delicious Raita at home easily. Use it in any dish made with curd and impart mouth-watering flavours to it."
Lime Juice Cordial,Morton,Beverages,Fruit Juices & Drinks,"This lemon juice will keep you refreshed with all the goodness of vitamin C. This amazing juice promotes hydration, supports weight loss, aids digestion, prevents kidney stones and maintains the pH balance of the skin.","Lime Juice Cordial Morton Beverages Fruit Juices & Drinks This lemon juice will keep you refreshed with all the goodness of vitamin C. This amazing juice promotes hydration, supports weight loss, aids digestion, prevents kidney stones and maintains the pH balance of the skin."
Cous Cous,Agnesi,Gourmet & World Food,Cooking & Baking Needs,"Agnesi's premium-quality couscous is a processed grain product that is made from little balls of durum wheat semolina flour. It is light, fluffy and can be taken as a complete meal. All you need is only 5 mins to prepare it. Pretty quick, eh!

It is packed with tons of health benefits. Rich in Selenium, it reduces body inflammation and boosts your immunity level. It is also a good source of plant-based protein and is quite versatile.

Want to make your dish tastier and completely irresistible? Cook it in vegetable, chicken or fish broth instead of just water to enhance all the flavors.","Cous Cous Agnesi Gourmet & World Food Cooking & Baking Needs Agnesi's premium-quality couscous is a processed grain product that is made from little balls of durum wheat semolina flour. It is light, fluffy and can be taken as a complete meal. All you need is only 5 mins to prepare it. Pretty quick, eh!

It is packed with tons of health benefits. Rich in Selenium, it reduces body inflammation and boosts your immunity level. It is also a good source of plant-based protein and is quite versatile.

Want to make your dish tastier and completely irresistible? Cook it in vegetable, chicken or fish broth instead of just water to enhance all the flavors."
